rank,model,point_idx,x,y,dominant_emotion_idx,dominant_emotion,is_top_emotion
256,Baseline,0,61.951934814453125,-70.03784942626953,21,sadness,False
256,Baseline,1,61.80294418334961,-73.48572540283203,20,remorse,False
256,Baseline,2,-47.03559494018555,25.804176330566406,0,admiration,True
256,Baseline,3,63.8682746887207,-18.6301212310791,10,disapproval,True
256,Baseline,4,-53.14285659790039,-73.24671936035156,1,amusement,True
256,Baseline,5,-96.1829605102539,-17.521249771118164,0,admiration,True
256,Baseline,6,-3.8993918895721436,-43.64585494995117,4,approval,True
256,Baseline,7,-68.03837585449219,-54.94572448730469,0,admiration,True
256,Baseline,8,-15.378702163696289,56.818031311035156,16,joy,False
256,Baseline,9,-60.987037658691406,-78.2058334350586,1,amusement,True
256,Baseline,10,-50.73843002319336,-62.09394454956055,1,amusement,True
256,Baseline,11,-13.066018104553223,-57.60395050048828,4,approval,True
256,Baseline,12,77.48072052001953,1.6906641721725464,3,annoyance,True
256,Baseline,13,-39.30866241455078,69.64171600341797,15,gratitude,True
256,Baseline,14,22.23383140563965,-74.01350402832031,14,fear,False
256,Baseline,15,33.428855895996094,83.1882095336914,6,confusion,True
256,Baseline,16,35.80801773071289,-78.89408111572266,9,disappointment,False
256,Baseline,17,-65.5416259765625,-52.309329986572266,0,admiration,True
256,Baseline,18,-22.445369720458984,-19.600643157958984,0,admiration,True
256,Baseline,19,78.01749420166016,55.63129425048828,14,fear,False
256,Baseline,20,3.194064140319824,-63.542903900146484,18,optimism,False
256,Baseline,21,-48.64141082763672,62.95167541503906,15,gratitude,True
256,Baseline,22,25.603506088256836,83.38993072509766,7,curiosity,True
256,Baseline,23,-5.839629650115967,-98.24065399169922,3,annoyance,True
256,Baseline,24,32.98125076293945,-36.87179946899414,10,disapproval,True
256,Baseline,25,-35.46207046508789,74.9664077758789,15,gratitude,True
256,Baseline,26,-3.949545383453369,51.79594039916992,22,surprise,False
256,Baseline,27,-38.809940338134766,-39.29030227661133,13,excitement,False
256,Baseline,28,-76.75965118408203,-14.754826545715332,5,caring,False
256,Baseline,29,47.40875244140625,71.31002807617188,6,confusion,True
256,Baseline,30,-69.79031372070312,-4.871715068817139,9,disappointment,False
256,Baseline,31,36.603145599365234,-42.182464599609375,10,disapproval,True
256,Baseline,32,74.97332000732422,-4.503162860870361,2,anger,True
256,Baseline,33,-3.0089542865753174,-64.41380310058594,5,caring,False
256,Baseline,34,-4.030818462371826,-45.76653289794922,4,approval,True
256,Baseline,35,13.764018058776855,75.67194366455078,7,curiosity,True
256,Baseline,36,25.301782608032227,-40.05004119873047,3,annoyance,True
