rank,model,point_idx,x,y,dominant_emotion_idx,dominant_emotion,is_top_emotion
256,Baseline,0,34.66342544555664,-17.05726432800293,21,sadness,False
256,Baseline,1,33.424720764160156,-17.544275283813477,20,remorse,False
256,Baseline,2,-20.199907302856445,18.030805587768555,0,admiration,True
256,Baseline,3,38.33979415893555,10.526881217956543,10,disapproval,True
256,Baseline,4,-23.972824096679688,40.34746170043945,1,amusement,True
256,Baseline,5,-51.53162384033203,-20.0787410736084,0,admiration,True
256,Baseline,6,-4.69656229019165,-0.5421578288078308,4,approval,True
256,Baseline,7,-30.9267520904541,26.7567081451416,0,admiration,True
256,Baseline,8,-6.366506099700928,30.589393615722656,16,joy,False
256,Baseline,9,-27.333030700683594,44.85606002807617,1,amusement,True
256,Baseline,10,-28.0832576751709,37.89875030517578,1,amusement,True
256,Baseline,11,-11.44897747039795,-12.092662811279297,4,approval,True
256,Baseline,12,48.549293518066406,18.09808921813965,3,annoyance,True
256,Baseline,13,-70.48672485351562,36.44435501098633,15,gratitude,True
256,Baseline,14,21.798673629760742,-10.717583656311035,14,fear,False
256,Baseline,15,11.742911338806152,53.88808059692383,6,confusion,True
256,Baseline,16,17.317161560058594,-14.388317108154297,9,disappointment,False
256,Baseline,17,-32.21711730957031,26.925899505615234,0,admiration,True
256,Baseline,18,3.263688325881958,16.96543312072754,0,admiration,True
256,Baseline,19,60.259037017822266,-10.624115943908691,14,fear,False
256,Baseline,20,0.34887003898620605,-12.184368133544922,18,optimism,False
256,Baseline,21,-53.93769073486328,28.27000617980957,15,gratitude,True
256,Baseline,22,12.825977325439453,53.37188720703125,7,curiosity,True
256,Baseline,23,-11.68783950805664,-24.065418243408203,3,annoyance,True
256,Baseline,24,33.43430709838867,29.371488571166992,10,disapproval,True
256,Baseline,25,-70.04789733886719,33.866355895996094,15,gratitude,True
256,Baseline,26,5.423075199127197,31.143247604370117,22,surprise,False
256,Baseline,27,-53.69450759887695,1.368683099746704,13,excitement,False
256,Baseline,28,-42.48171615600586,-8.862154960632324,5,caring,False
256,Baseline,29,23.669254302978516,57.497379302978516,6,confusion,True
256,Baseline,30,-37.76599884033203,-7.649158000946045,9,disappointment,False
256,Baseline,31,30.143301010131836,28.389074325561523,10,disapproval,True
256,Baseline,32,49.65265655517578,21.215538024902344,2,anger,True
256,Baseline,33,-5.8412089347839355,-16.34153938293457,5,caring,False
256,Baseline,34,-5.154185771942139,-1.4781115055084229,4,approval,True
256,Baseline,35,7.25677490234375,52.06186294555664,7,curiosity,True
256,Baseline,36,33.494667053222656,19.329608917236328,3,annoyance,True
256,Baseline,37,-44.853023529052734,-1.4035918712615967,19,realization,False
256,Baseline,38,58.66968536376953,24.450618743896484,2,anger,True
256,Baseline,39,-50.00334548950195,-18.911422729492188,17,love,True
256,Baseline,40,-20.754274368286133,35.463157653808594,1,amusement,True
256,Baseline,41,41.84363555908203,13.65434741973877,3,annoyance,True
256,Baseline,42,-20.194072723388672,49.04705047607422,12,embarrassment,False
256,Baseline,43,27.740144729614258,23.536741256713867,10,disapproval,True
256,Baseline,44,-69.32328796386719,39.54501724243164,4,approval,True
256,Baseline,45,31.792221069335938,-17.876907348632812,5,caring,False
256,Baseline,46,-37.32377624511719,6.0754241943359375,0,admiration,True
256,Baseline,47,-18.311622619628906,4.374778747558594,0,admiration,True
256,Baseline,48,-30.051868438720703,35.626670837402344,16,joy,False
256,Baseline,49,1.1310228109359741,28.416051864624023,19,realization,False
256,Baseline,50,-2.6759514808654785,2.6187570095062256,19,realization,False
256,Baseline,51,43.281585693359375,30.95990753173828,14,fear,False
256,Baseline,52,-72.34770202636719,39.05744552612305,15,gratitude,True
256,Baseline,53,32.98590087890625,-19.900440216064453,10,disapproval,True
256,Baseline,54,41.80073165893555,25.851972579956055,3,annoyance,True
256,Baseline,55,-31.397661209106445,-0.8867174386978149,0,admiration,True
256,Baseline,56,-41.075008392333984,10.370357513427734,0,admiration,True
256,Baseline,57,16.299917221069336,8.73172378540039,21,sadness,False
256,Baseline,58,25.539628982543945,56.570892333984375,6,confusion,True
256,Baseline,59,46.608097076416016,22.99494171142578,2,anger,True
256,Baseline,60,31.225677490234375,7.846230983734131,10,disapproval,True
256,Baseline,61,14.8189697265625,-17.818660736083984,8,desire,False
256,Baseline,62,0.05247051641345024,48.928504943847656,19,realization,False
256,Baseline,63,33.241981506347656,2.791689872741699,9,disappointment,False
256,Baseline,64,51.246849060058594,5.220603942871094,11,disgust,False
256,Baseline,65,-70.2781982421875,39.5471076965332,15,gratitude,True
256,Baseline,66,-4.907140254974365,-1.7730824947357178,4,approval,True
256,Baseline,67,-69.89877319335938,35.899776458740234,15,gratitude,True
256,Baseline,68,62.815128326416016,-6.876002788543701,8,desire,False
256,Baseline,69,-14.556272506713867,3.0525014400482178,0,admiration,True
256,Baseline,70,53.821346282958984,4.5889387130737305,11,disgust,False
256,Baseline,71,-44.708587646484375,-27.245445251464844,5,caring,False
256,Baseline,72,62.172664642333984,22.214038848876953,11,disgust,False
256,Baseline,73,5.299966812133789,58.53562545776367,7,curiosity,True
256,Baseline,74,-1.0558067560195923,29.803163528442383,18,optimism,False
256,Baseline,75,-70.00869750976562,35.91271209716797,15,gratitude,True
256,Baseline,76,22.835542678833008,58.151466369628906,6,confusion,True
256,Baseline,77,1.826499581336975,34.923336029052734,7,curiosity,True
256,Baseline,78,-37.93648147583008,-18.849082946777344,6,confusion,True
256,Baseline,79,-10.131564140319824,-10.75609016418457,19,realization,False
